KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV;ANGLEŠKI NAZIV KRATEK;KRIŽEC / ETIOLOGIJA;ZVEZDICA / MANIFESTACIJA;VELJAVNOST;SKUPINA OBOLEVNOSTI;SPOL;SPOL TIP;STAROST MIN.;STAROST MAX.;STAROST TIP;REDKA DIAGNOZA;MORFOLOGIJA;NESPREJEMLJIVA GLAVNA DIAGNOZA;PRIJAVA NALEZLJIVE BOLEZNI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.0;Kronična postrevmatična artropatija [Jaccoud];Chronic postrheumatic arthropathy [Jaccoud];Chronic postrheumatic arthropathy;0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.00;Kronična postrevmatična artropatija [Jaccoud], več mest;Chronic postrheumatic arthropathy [Jaccoud], multiple sites;Chronic postrheum arthropathy mult site;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.01;Kronična postrevmatična artropatija [Jaccoud], ramenski predel;Chronic postrheumatic arthropathy [Jaccoud], shoulder region;Chronic postrheum arthropathy shoulder;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.02;Kronična postrevmatična artropatija [Jaccoud], zgornji ud;Chronic postrheumatic arthropathy [Jaccoud], upper arm;Chronic postrheum arthropathy upper arm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.03;Kronična postrevmatična artropatija [Jaccoud], podlaket;Chronic postrheumatic arthropathy [Jaccoud], forearm;Chronic postrheum arthropathy forearm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.04;Kronična postrevmatična artropatija [Jaccoud], roka;Chronic postrheumatic arthropathy [Jaccoud], hand;Chronic postrheum arthropathy hand;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.05;Kronična postrevmatična artropatija [Jaccoud], medenični predel in stegno;Chronic postrheumatic arthropathy [Jaccoud], pelvic region and thigh;Chronic postrheum arthropathy pelv thigh;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.06;Kronična postrevmatična artropatija [Jaccoud], spodnji ud;Chronic postrheumatic arthropathy [Jaccoud], lower leg;Chronic postrheum arthropathy lower leg;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.07;Kronična postrevmatična artropatija [Jaccoud], gleženj in stopalo;Chronic postrheumatic arthropathy [Jaccoud], ankle and foot;Chronic postrheum arthropathy ankle foot;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.08;Kronična postrevmatična artropatija [Jaccoud], drugo;Chronic postrheumatic arthropathy [Jaccoud], other site;Chronic postrheum arthropathy other;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.09;Kronična postrevmatična artropatija [Jaccoud], neopredeljeno mesto;Chronic postrheumatic arthropathy [Jaccoud], site unspecified;Chronic postrheum arthropathy site unsp;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.1;Kaschin-Beckova bolezen;Kaschin-Beck disease;Kaschin-Beck disease;0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.10;Kaschin-Beckova bolezen, več mest;Kaschin-Beck disease, multiple sites;Kaschin-Beck disease multiple sites;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.11;Kaschin-Beckova bolezen, ramenski predel;Kaschin-Beck disease, shoulder region;Kaschin-Beck disease shoulder region;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.12;Kaschin-Beckova bolezen, zgornji ud;Kaschin-Beck disease, upper arm;Kaschin-Beck disease upper arm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.13;Kaschin-Beckova bolezen, podlaket;Kaschin-Beck disease, forearm;Kaschin-Beck disease forearm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.14;Kaschin-Beckova bolezen, roka;Kaschin-Beck disease, hand;Kaschin-Beck disease hand;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.15;Kaschin-Beckova bolezen, medenični predel in stegno;Kaschin-Beck disease, pelvic region and thigh;Kaschin-Beck disease pelv rgn & thgh;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.16;Kaschin-Beckova bolezen, spodnji ud;Kaschin-Beck disease, lower leg;Kaschin-Beck disease lower leg;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.17;Kaschin-Beckova bolezen, gleženj in stopalo;Kaschin-Beck disease, ankle and foot;Kaschin-Beck disease ankle and foot;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.18;Kaschin-Beckova bolezen, drugo;Kaschin-Beck disease, other site;Kaschin-Beck disease other;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.19;Kaschin-Beckova bolezen, neopredeljeno mesto;Kaschin-Beck disease, site unspecified;Kaschin-Beck disease site unspecified;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.2;Vilonodularni sinovitis (pigmentni);Villonodular synovitis (pigmented);Villonodular synovitis (pigmented);0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.20;Vilonodularni sinovitis (pigmentni), več mest;Villonodular synovitis (pigmented), multiple sites;Villonodular synovitis multiple sites;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.21;Vilonodularni sinovitis (pigmentni), ramenski predel;Villonodular synovitis (pigmented), shoulder region;Villonodular synovitis shoulder;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.22;Vilonodularni sinovitis (pigmentni), zgornji ud;Villonodular synovitis (pigmented), upper arm;Villonodular synovitis upper arm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.23;Vilonodularni sinovitis (pigmentni), podlaket;Villonodular synovitis (pigmented), forearm;Villonodular synovitis forearm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.24;Vilonodularni sinovitis (pigmentni), roka;Villonodular synovitis (pigmented), hand;Villonodular synovitis (pigmented) hand;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.25;Vilonodularni sinovitis (pigmentni), medenični predel in stegno;Villonodular synovitis (pigmented), pelvic region and thigh;Villonodular synovitis pelv rgn & thgh;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.26;Vilonodularni sinovitis (pigmentni), spodnji ud;Villonodular synovitis (pigmented), lower leg;Villonodular synovitis lower leg;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.27;Vilonodularni sinovitis (pigmentni), gleženj in stopalo;Villonodular synovitis (pigmented), ankle and foot;Villonodular synovitis ankle & foot;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.28;Vilonodularni sinovitis (pigmentni), drugo;Villonodular synovitis (pigmented), other site;Villonodular synovitis other;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.29;Vilonodularni sinovitis (pigmentni), neopredeljeno mesto;Villonodular synovitis (pigmented), site unspecified;Villonodular synovitis site unspecified;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.3;Palindromni revmatizem;Palindromic rheumatism;Palindromic rheumatism;0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.30;Palindromni revmatizem, več mest;Palindromic rheumatism, multiple sites;Palindromic rheumatism multiple sites;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.31;Palindromni revmatizem, ramenski predel;Palindromic rheumatism, shoulder region;Palindromic rheumatism shoulder region;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.32;Palindromni revmatizem, zgornji ud;Palindromic rheumatism, upper arm;Palindromic rheumatism upper arm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.33;Palindromni revmatizem, podlaket;Palindromic rheumatism, forearm;Palindromic rheumatism forearm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.34;Palindromni revmatizem, roka;Palindromic rheumatism, hand;Palindromic rheumatism hand;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.35;Palindromni revmatizem, medenični predel in stegno;Palindromic rheumatism, pelvic region and thigh;Palindromic rheumatism pelv rgn & thgh;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.36;Palindromni revmatizem, spodnji ud;Palindromic rheumatism, lower leg;Palindromic rheumatism lower leg;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.37;Palindromni revmatizem, gleženj in stopalo;Palindromic rheumatism, ankle and foot;Palindromic rheumatism ankle and foot;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.38;Palindromni revmatizem, drugo;Palindromic rheumatism, other site;Palindromic rheumatism other;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.39;Palindromni revmatizem, neopredeljeno mesto;Palindromic rheumatism, site unspecified;Palindromic rheumatism site unspecified;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.4;Intermitentna hidrartroza;Intermittent hydrarthrosis;Intermittent hydrarthrosis;0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.40;Intermitentna hidrartroza, več mest;Intermittent hydrarthrosis, multiple sites;Intermittent hydrarthrosis multiple site;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.41;Intermitentna hidrartroza, ramenski predel;Intermittent hydrarthrosis, shoulder region;Intermittent hydrarthrosis shoulder;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.42;Intermitentna hidrartroza, zgornji ud;Intermittent hydrarthrosis, upper arm;Intermittent hydrarthrosis upper arm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.43;Intermitentna hidrartroza, podlaket;Intermittent hydrarthrosis, forearm;Intermittent hydrarthrosis forearm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.44;Intermitentna hidrartroza, roka;Intermittent hydrarthrosis, hand;Intermittent hydrarthrosis hand;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.45;Intermitentna hidrartroza, medenični predel in stegno;Intermittent hydrarthrosis, pelvic region and thigh;Intermit hydrarthrosis pelv rgn & thgh;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.46;Intermitentna hidrartroza, spodnji ud;Intermittent hydrarthrosis, lower leg;Intermittent hydrarthrosis lower leg;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.47;Intermitentna hidrartroza, gleženj in stopalo;Intermittent hydrarthrosis, ankle and foot;Intermittent hydrarthrosis ankle & foot;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.48;Intermitentna hidrartroza, drugo;Intermittent hydrarthrosis, other site;Intermittent hydrarthrosis other;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.49;Intermitentna hidrartroza, neopredeljeno mesto;Intermittent hydrarthrosis, site unspecified;Intermittent hydrarthrosis site unsp;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.5;Artropatija po poškodbi;Traumatic arthropathy;Traumatic arthropathy;0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.50;Artropatija po poškodbi, več mest;Traumatic arthropathy, multiple sites;Traumatic arthropathy multiple sites;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.51;Artropatija po poškodbi, ramenski predel;Traumatic arthropathy, shoulder region;Traumatic arthropathy shoulder region;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.52;Artropatija po poškodbi, zgornji ud;Traumatic arthropathy, upper arm;Traumatic arthropathy upper arm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.53;Artropatija po poškodbi, podlaket;Traumatic arthropathy, forearm;Traumatic arthropathy forearm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.54;Artropatija po poškodbi, roka;Traumatic arthropathy, hand;Traumatic arthropathy hand;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.55;Artropatija po poškodbi, medenični predel in stegno;Traumatic arthropathy, pelvic region and thigh;Traumatic arthropathy pelv rgn & thgh;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.56;Artropatija po poškodbi, spodnji ud;Traumatic arthropathy, lower leg;Traumatic arthropathy lower leg;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.57;Artropatija po poškodbi, gleženj in stopalo;Traumatic arthropathy, ankle and foot;Traumatic arthropathy ankle and foot;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.58;Artropatija po poškodbi, drugo;Traumatic arthropathy, other site;Traumatic arthropathy other;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.59;Artropatija po poškodbi, neopredeljeno mesto;Traumatic arthropathy, site unspecified;Traumatic arthropathy site unspecified;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.8;Druge specifične artropatije, ki niso uvrščene drugje;Other specific arthropathies, not elsewhere classified;Other specific arthropathies NEC;0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.80;Druge specifične artropatije, ki niso uvrščene drugje, več mest;Other specific arthropathies, not elsewhere classified, multiple sites;Other spec arthropathies NEC mult sites;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.81;Druge specifične artropatije, ki niso uvrščene drugje, ramenski predel;Other specific arthropathies, not elsewhere classified, shoulder region;Other spec arthropathies NEC shoulder;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.82;Druge specifične artropatije, ki niso uvrščene drugje, zgornji ud;Other specific arthropathies, not elsewhere classified, upper arm;Other spec arthropathies NEC upper arm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.83;Druge specifične artropatije, ki niso uvrščene drugje, podlaket;Other specific arthropathies, not elsewhere classified, forearm;Other spec arthropathies NEC forearm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.84;Druge specifične artropatije, ki niso uvrščene drugje, roka;Other specific arthropathies, not elsewhere classified, hand;Other spec arthropathies NEC hand;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.85;Druge specifične artropatije, ki niso uvrščene drugje, medenični predel in stegno;Other specific arthropathies, not elsewhere classified, pelvic region and thigh;Oth spec arthrpthy NEC pelv rgn & thgh;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.86;Druge specifične artropatije, ki niso uvrščene drugje, spodnji ud;Other specific arthropathies, not elsewhere classified, lower leg;Other spec arthropathies NEC lower leg;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.87;Druge specifične artropatije, ki niso uvrščene drugje, gleženj in stopalo;Other specific arthropathies, not elsewhere classified, ankle and foot;Other spec arthropathies NEC ankle foot;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.88;Druge specifične artropatije, ki niso uvrščene drugje, drugo;Other specific arthropathies, not elsewhere classified, other site;Other spec arthropathies NEC other;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M12.89;Druge specifične artropatije, ki niso uvrščene drugje, neopredeljeno mesto;Other specific arthropathies, not elsewhere classified, site unspecified;Other spec arthropathies NEC site unsp;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13;Drugi artritisi;Other arthritis;Other arthritis;0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.0;Poliartritis, neopredeljen;Polyarthritis, unspecified;Polyarthritis unspecified;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.1;Monoartritis, ki ni uvrščen drugje;Monoarthritis, not elsewhere classified;Monoarthritis not elsewhere classified;0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.11;Monoartritis, ki ni uvrščen drugje, več mest;Monoarthritis, not elsewhere classified, shoulder region;Monoarthritis NEC shoulder region;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.12;Monoartritis, ki ni uvrščen drugje, zgornji ud;Monoarthritis, not elsewhere classified, upper arm;Monoarthritis NEC upper arm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.13;Monoartritis, ki ni uvrščen drugje, podlaket;Monoarthritis, not elsewhere classified, forearm;Monoarthritis NEC forearm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.14;Monoartritis, ki ni uvrščen drugje, roka;Monoarthritis, not elsewhere classified, hand;Monoarthritis NEC hand;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.15;Monoartritis, ki ni uvrščen drugje, medenični predel in stegno;Monoarthritis, not elsewhere classified, pelvic region and thigh;Monoarthritis NEC pelvic region & thigh;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.16;Monoartritis, ki ni uvrščen drugje, spodnji ud;Monoarthritis, not elsewhere classified, lower leg;Monoarthritis NEC lower leg;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.17;Monoartritis, ki ni uvrščen drugje, gleženj in stopalo;Monoarthritis, not elsewhere classified, ankle and foot;Monoarthritis NEC ankle & foot;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.18;Monoartritis, ki ni uvrščen drugje, drugo;Monoarthritis, not elsewhere classified, other site;Monoarthritis NEC other;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.19;Monoartritis, ki ni uvrščen drugje, neopredeljeno mesto;Monoarthritis, not elsewhere classified, site unspecified;Monoarthritis NEC site unspecified;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.8;Druge vrste opredeljeni artritis;Other specified arthritis;Other specified arthritis;0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.80;Druge vrste opredeljeni artritis, več mest;Other specified arthritis, multiple sites;Other spec arthritis multiple sites;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.81;Druge vrste opredeljeni artritis, ramenski predel;Other specified arthritis, shoulder region;Other spec arthritis shoulder region;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.82;Druge vrste opredeljeni artritis, zgornji ud;Other specified arthritis, upper arm;Other specified arthritis upper arm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.83;Druge vrste opredeljeni artritis, podlaket;Other specified arthritis, forearm;Other specified arthritis forearm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.84;Druge vrste opredeljeni artritis, roka;Other specified arthritis, hand;Other specified arthritis hand;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.85;Druge vrste opredeljeni artritis, medenični predel in stegno;Other specified arthritis, pelvic region and thigh;Other specified arthr pelv rgn & thgh;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.86;Druge vrste opredeljeni artritis, spodnji ud;Other specified arthritis, lower leg;Other specified arthritis lower leg;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.87;Druge vrste opredeljeni artritis, gleženj in stopalo;Other specified arthritis, ankle and foot;Other spec arthritis ankle & foot;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.88;Druge vrste opredeljeni artritis, drugo;Other specified arthritis, other site;Other specified arthritis other;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.89;Druge vrste opredeljeni artritis, neopredeljeno mesto;Other specified arthritis, site unspecified;Other specified arthritis site unsp;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.9;Artritis, neopredeljen;Arthritis, unspecified;Arthritis unspecified;0;0;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.90;Artritis, neopredeljen, več mest;Arthritis, unspecified, multiple sites;Arthritis unspecified multiple sites;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.91;Artritis, neopredeljen, ramenski predel;Arthritis, unspecified, shoulder region;Arthritis unspecified shoulder region;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.92;Artritis, neopredeljen, zgornji ud;Arthritis, unspecified, upper arm;Arthritis unspecified upper arm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.93;Artritis, neopredeljen, podlaket;Arthritis, unspecified, forearm;Arthritis unspecified forearm;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.94;Artritis, neopredeljen, roka;Arthritis, unspecified, hand;Arthritis unspecified hand;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.95;Artritis, neopredeljen, medenični predel in stegno;Arthritis, unspecified, pelvic region and thigh;Arthritis unspecified pelv rgn & thgh;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.96;Artritis, neopredeljen, spodnji ud;Arthritis, unspecified, lower leg;Arthritis unspecified lower leg;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.97;Artritis, neopredeljen, gleženj in stopalo;Arthritis, unspecified, ankle and foot;Arthritis unspecified ankle and foot;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.98;Artritis, neopredeljen, drugo;Arthritis, unspecified, other site;Arthritis unspecified other;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M13.99;Artritis, neopredeljen, neopredeljeno mesto;Arthritis, unspecified, site unspecified;Arthritis unspecified site unspecified;0;0;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M14;Artropatije pri drugih boleznih, uvrščenih drugje;Arthropathies in other diseases classified elsewhere;Arthropathies in other diseases cl/e;0;1;0;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M14.0;Protinska artropatija zaradi encimskih pomanjkljivosti in drugih podedovanih motenj;Gouty arthropathy due to enzyme defects and other inherited disorders;Gouty arthropathy dt enzyme defect;0;1;1;200;;;215;324;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M14.1;S kristali povzročena artropatija pri drugih presnovnih boleznih;Crystal arthropathy in other metabolic disorders;Crystal arthrpthy in oth metabolic disrd;0;1;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M14.3;Lipoidni dermatoartritis (E78.8†);Lipoid dermatoarthritis (E78.8+);Lipoid dermatoarthritis (E78.8+);0;1;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M14.4;Artropatija pri amiloidozi (E85.-†);Arthropathy in amyloidosis (E85.-+);Arthropathy in amyloidosis (E85.-+);0;1;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M14.5;Artropatije pri drugih endokrinih, prehranskih (nutricijskih) in presnovnih (metabolnih) boleznih;Arthropathies in other endocrine, nutritional and metabolic disorders;Arthrpthy oth endocrine nutrit metab dis;0;1;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M14.6;Nevropatska artropatija;Neuropathic arthropathy;Neuropathic arthropathy;0;1;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M14.8;Artropatije pri drugih opredeljenih boleznih, uvrščenih drugje;Arthropathies in other specified diseases classified elsewhere;Arthropathies in oth spec diseases cl/e;0;1;1;200;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M15;Poliartroza;Polyarthrosis;Polyarthrosis;0;0;0;201;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
