siKoda;normalizirana;SLOVENSKI NAZIV
M23.23;M2323;Motnja meniskusa zaradi stare raztrganine ali poškodbe, medialna kolateralna vez ali drugi in neopredeljeni del medialnega meniskusa
M23.24;M2324;Motnja meniskusa zaradi stare raztrganine ali poškodbe, lateralna kolateralna vez ali sprednji rog lateralnega meniskusa
M23.25;M2325;Motnja meniskusa zaradi stare raztrganine ali poškodbe, zadnji rog lateralnega meniskusa
M23.26;M2326;Motnja meniskusa zaradi stare raztrganine ali poškodbe, druge vrste in neopredeljeni del lateralnega meniskusa
M23.29;M2329;Motnja meniskusa zaradi stare raztrganine ali poškodbe, neopredeljena vez ali neopredeljeni del meniskusa
M23.3;M233;Druge motnje meniskusa
M23.30;M2330;Druge motnje meniskusa, več mest
M23.31;M2331;Druge motnje meniskusa, sprednja križna vez ali sprednji rog medialnega meniskusa 
M23.32;M2332;Druge motnje meniskusa, zadnja križna vez ali zadnji rog medialnega meniskusa
M23.33;M2333;Druge motnje meniskusa, medialna kolateralna vez ali drugi in neopredeljeni del medialnega meniskusa
M23.34;M2334;Druge motnje meniskusa, lateralna kolateralna vez ali sprednji rog lateralnega meniskusa
M23.35;M2335;Druge motnje meniskusa, zadnji rog lateralnega meniskusa
M23.36;M2336;Druge motnje meniskusa, druge vrste in neopredeljeni del lateralnega meniskusa
M23.39;M2339;Druge motnje meniskusa, neopredeljena vez ali neopredeljeni del meniskusa
M23.4;M234;Prosto telo v kolenu
M23.40;M2340;Prosto telo v kolenu, več mest
M23.41;M2341;Prosto telo v kolenu, sprednja križna vez ali sprednji rog medialnega meniskusa 
M23.42;M2342;Prosto telo v kolenu, zadnja križna vez ali zadnji rog medialnega meniskusa
M23.43;M2343;Prosto telo v kolenu, medialna kolateralna vez ali drugi in neopredeljeni del medialnega meniskusa
M23.44;M2344;Prosto telo v kolenu, lateralna kolateralna vez ali sprednji rog lateralnega meniskusa
M23.45;M2345;Prosto telo v kolenu, zadnji rog lateralnega meniskusa
M23.46;M2346;Prosto telo v kolenu, druge vrste in neopredeljeni del lateralnega meniskusa
M23.47;M2347;Prosto telo v kolenu, ovojnična vez (kapsularni ligament)
M23.49;M2349;Prosto telo v kolenu, neopredeljena vez ali neopredeljeni del meniskusa
M23.5;M235;Kronična nestabilnost kolena
M23.50;M2350;Kronična nestabilnost kolena, več mest
M23.51;M2351;Kronična nestabilnost kolena, sprednja križna vez ali sprednji rog medialnega meniskusa 
M23.52;M2352;Kronična nestabilnost kolena, zadnja križna vez ali zadnji rog medialnega meniskusa
M23.53;M2353;Kronična nestabilnost kolena, medialna kolateralna vez ali drugi in neopredeljeni del medialnega meniskusa
M23.54;M2354;Kronična nestabilnost kolena, lateralna kolateralna vez ali sprednji rog lateralnega meniskusa
M23.55;M2355;Kronična nestabilnost kolena, zadnji rog lateralnega meniskusa
M23.56;M2356;Kronična nestabilnost kolena, druge vrste in neopredeljeni del lateralnega meniskusa
M23.57;M2357;Kronična nestabilnost kolena, ovojnična vez (kapsularni ligament)
M23.59;M2359;Kronična nestabilnost kolena, neopredeljena vez ali neopredeljeni del meniskusa
M23.6;M236;Druge vrste samodejne pretrganine kolenske(-ih) vezi
M23.60;M2360;Druge vrste samodejne pretrganine kolenske(-ih) vezi, več mest
M23.61;M2361;Druge vrste samodejne pretrganine kolenske(-ih) vezi, sprednja križna vez ali sprednji rog medialnega meniskusa 
M23.62;M2362;Druge vrste samodejne pretrganine kolenske(-ih) vezi, zadnja križna vez ali zadnji rog medialnega meniskusa
M23.63;M2363;Druge vrste samodejne pretrganine kolenske(-ih) vezi, medialna kolateralna vez ali drugi in neopredeljeni del medialnega meniskusa
M23.64;M2364;Druge vrste samodejne pretrganine kolenske(-ih) vezi, lateralna kolateralna vez ali sprednji rog lateralnega meniskusa
M23.67;M2367;Druge vrste samodejne pretrganine kolenske(-ih) vezi, ovojnična vez (kapsularni ligament)
M23.69;M2369;Druge vrste samodejne pretrganine kolenske(-ih) vezi, neopredeljena vez ali neopredeljeni del meniskusa
M23.8;M238;Druge notranje motnje kolena
M23.80;M2380;Druge notranje motnje kolena, več mest
M23.81;M2381;Druge notranje motnje kolena, sprednja križna vez ali sprednji rog medialnega meniskusa 
M23.82;M2382;Druge notranje motnje kolena, zadnja križna vez ali zadnji rog medialnega meniskusa
M23.83;M2383;Druge notranje motnje kolena, medialna kolateralna vez ali drugi in neopredeljeni del medialnega meniskusa
M23.84;M2384;Druge notranje motnje kolena, lateralna kolateralna vez ali sprednji rog lateralnega meniskusa
M23.85;M2385;Druge notranje motnje kolena, zadnji rog lateralnega meniskusa
M23.86;M2386;Druge notranje motnje kolena, druge vrste in neopredeljeni del lateralnega meniskusa
M23.87;M2387;Druge notranje motnje kolena, ovojnična vez (kapsularni ligament)
M23.89;M2389;Druge notranje motnje kolena, neopredeljena vez ali neopredeljeni del meniskusa
M23.9;M239;Notranja motnja kolena, neopredeljena
M23.90;M2390;Notranja motnja kolena, neopredeljena, več mest
M23.91;M2391;Notranja motnja kolena, neopredeljena, sprednja križna vez ali sprednji rog medialnega meniskusa 
M23.92;M2392;Notranja motnja kolena, neopredeljena, zadnja križna vez ali zadnji rog medialnega meniskusa
M23.93;M2393;Notranja motnja kolena, neopredeljena, medialna kolateralna vez ali drugi in neopredeljeni del medialnega meniskusa
M23.94;M2394;Notranja motnja kolena, neopredeljena, lateralna kolateralna vez ali sprednji rog lateralnega meniskusa
M23.95;M2395;Notranja motnja kolena, neopredeljena, zadnji rog lateralnega meniskusa
M23.96;M2396;Notranja motnja kolena, neopredeljena, druge vrste in neopredeljeni del lateralnega meniskusa
M23.97;M2397;Notranja motnja kolena, neopredeljena, ovojnična vez (kapsularni ligament)
M23.99;M2399;Notranja motnja kolena, neopredeljena, neopredeljena vez ali neopredeljeni del meniskusa
M24;M24;Druge specifične motnje sklepa
M24.0;M240;Prosto telo v sklepu
M24.00;M2400;Prosto telo v sklepu, več mest
M24.01;M2401; Prosto telo v sklepu, ramenski sklep
M24.02;M2402;Prosto telo v sklepu, zgornji ud
M24.03;M2403;Prosto telo v sklepu, podlaket
M24.04;M2404;Prosto telo v sklepu, roka
M24.05;M2405;Prosto telo v sklepu, medenični predel in stegno
M24.07;M2407;Prosto telo v sklepu, gleženj in stopalo
M24.08;M2408;Prosto telo v sklepu, drugo
M24.09;M2409;Prosto telo v sklepu, neopredeljeno mesto
M24.1;M241;Druge motnje sklepnega hrustanca
M24.10;M2410;Druge motnje sklepnega hrustanca, več mest
M24.11;M2411;Druge motnje sklepnega hrustanca, ramenski predel
M24.12;M2412;Druge motnje sklepnega hrustanca, zgornji ud
M24.13;M2413;Druge motnje sklepnega hrustanca, podlaket
M24.14;M2414;Druge motnje sklepnega hrustanca, roka
M24.15;M2415;Druge motnje sklepnega hrustanca, medenični predel in stegno
M24.17;M2417;Druge motnje sklepnega hrustanca, gleženj in stopalo
M24.18;M2418;Druge motnje sklepnega hrustanca, drugo
M24.19;M2419;Druge motnje sklepnega hrustanca, neopredeljeno mesto
M24.2;M242;Motnja vezi
M24.20;M2420;Motnja vezi, več mest
M24.21;M2421;Motnja vezi, ramenski predel
M24.22;M2422;Motnja vezi, zgornji ud
M24.23;M2423;Motnja vezi, podlaket
M24.24;M2424;Motnja vezi, roka
M24.25;M2425;Motnja vezi, medenični predel in stegno
M24.27;M2427;Motnja vezi, gleženj in stopalo
M24.28;M2428;Motnja vezi, drugo
M24.29;M2429;Motnja vezi, neopredeljeno mesto
M24.3;M243;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje
M24.30;M2430;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje, več mest
M24.31;M2431;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje, ramenski predel
M24.32;M2432;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje, zgornji ud
M24.33;M2433;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje, podlaket
M24.34;M2434;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje, roka
M24.35;M2435;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje, medenični predel in stegno
M24.36;M2436;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje, spodnji ud
M24.37;M2437;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje, gleženj in stopalo
M24.38;M2438;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje, drugo
M24.39;M2439;Patološki izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ki ni uvrščen drugje, neopredeljeno mesto
M24.4;M244;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa
M24.40;M2440;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, več mest
M24.41;M2441;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, ramenski predel
M24.42;M2442;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, zgornji ud
M24.43;M2443;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, podlaket
M24.44;M2444;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, roka
M24.45;M2445;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, medenični predel in stegno
M24.46;M2446;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, spodnji ud
M24.47;M2447;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, gleženj in stopalo
M24.48;M2448;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, drugo
M24.49;M2449;Ponavljajoči se izpah (dislokacija) in nepopolni izpah (subluksacija) sklepa, neopredeljeno mesto
M24.5;M245;Kontraktura sklepa
M24.50;M2450;Kontraktura sklepa, več mest
M24.51;M2451;Kontraktura sklepa, ramenski predel
M24.52;M2452;Kontraktura sklepa, zgornji ud
M24.53;M2453;Kontraktura sklepa, podlaket
M24.54;M2454;Kontraktura sklepa, roka
M24.55;M2455;Kontraktura sklepa, medenični predel in stegno
M24.56;M2456;Kontraktura sklepa, spodnji ud
M24.57;M2457;Kontraktura sklepa, gleženj in stopalo
M24.58;M2458;Kontraktura sklepa, drugo
M24.59;M2459;Kontraktura sklepa, neopredeljeno mesto
M24.6;M246;Ankiloza sklepa
M24.60;M2460;Ankiloza sklepa, več mest
M24.61;M2461;Ankiloza sklepa, ramenski predel
M24.62;M2462;Ankiloza sklepa, zgornji ud
M24.63;M2463;Ankiloza sklepa, podlaket
M24.64;M2464;Ankiloza sklepa, roka
M24.65;M2465;Ankiloza sklepa, medenični predel in stegno
M24.66;M2466;Ankiloza sklepa, spodnji ud
M24.67;M2467;Ankiloza sklepa, gleženj in stopalo
M24.68;M2468;Ankiloza sklepa, drugo
M24.69;M2469;Ankiloza sklepa, neopredeljeno mesto
M24.7;M247;Protruzija kolčne ponvice (acetabula)
M24.8;M248;Druge opredeljene sklepne motnje, ki niso uvrščene drugje
M24.80;M2480;Druge opredeljene sklepne motnje, ki niso uvrščene drugje, več mest
M24.81;M2481;Druge opredeljene sklepne motnje, ki niso uvrščene drugje, ramenski predel
M24.82;M2482;Druge opredeljene sklepne motnje, ki niso uvrščene drugje, zgornji ud
M24.83;M2483;Druge opredeljene sklepne motnje, ki niso uvrščene drugje, podlaket
M24.84;M2484;Druge opredeljene sklepne motnje, ki niso uvrščene drugje, roka
M24.85;M2485;Druge opredeljene sklepne motnje, ki niso uvrščene drugje, medenični predel in stegno
M24.87;M2487;Druge opredeljene sklepne motnje, ki niso uvrščene drugje, gleženj in stopalo
M24.88;M2488;Druge opredeljene sklepne motnje, ki niso uvrščene drugje, drugo
M24.89;M2489;Druge opredeljene sklepne motnje, ki niso uvrščene drugje, neopredeljeno mesto
M24.9;M249;Sklepna motnja, neopredeljena
M24.90;M2490;Sklepna motnja, neopredeljena, več mest
M24.91;M2491;Sklepna motnja, neopredeljena ramenski predel
M24.92;M2492;Sklepna motnja, neopredeljena, zgornji ud
M24.93;M2493;Sklepna motnja, neopredeljena, podlaket
M24.94;M2494;Sklepna motnja, neopredeljena, roka
M24.95;M2495;Sklepna motnja, neopredeljena, medenični predel in stegno
M24.97;M2497;Sklepna motnja, neopredeljena, gleženj in stopalo
M24.98;M2498;Sklepna motnja, neopredeljena, drugo
M24.99;M2499;Sklepna motnja, neopredeljena, neopredeljeno mesto
M25;M25;Druge motnje sklepa,  ki niso uvrščene drugje
M25.0;M250;Izliv krvi v sklep (hemartros)
M25.00;M2500;Izliv krvi v sklep (hemartros), več mest
M25.01;M2501;Izliv krvi v sklep (hemartros) ramenski predel
M25.02;M2502;Izliv krvi v sklep (hemartros), zgornji ud
M25.03;M2503;Izliv krvi v sklep (hemartros), podlaket
M25.04;M2504;Izliv krvi v sklep (hemartros), roka
M25.05;M2505;Izliv krvi v sklep (hemartros), medenični predel in stegno
M25.06;M2506;Izliv krvi v sklep (hemartros), spodnji ud
M25.07;M2507;Izliv krvi v sklep (hemartros), gleženj in stopalo
M25.08;M2508;Izliv krvi v sklep (hemartros), drugo
M25.09;M2509;Izliv krvi v sklep (hemartros), neopredeljeno mesto
M25.1;M251;Sklepna fistula
M25.10;M2510;Sklepna fistula, več mest
M25.11;M2511;Sklepna fistula, ramenski predel
M25.12;M2512;Sklepna fistula, zgornji ud
M25.13;M2513;Sklepna fistula, podlaket
M25.14;M2514;Sklepna fistula, roka
M25.15;M2515;Sklepna fistula, medenični predel in stegno
M25.16;M2516;Sklepna fistula, spodnji ud
M25.17;M2517;Sklepna fistula, gleženj in stopalo
M25.18;M2518;Sklepna fistula, drugo
M25.19;M2519;Sklepna fistula, neopredeljeno mesto
M25.2;M252;Mlahav sklep
M25.20;M2520;Mlahav sklep, več mest
M25.21;M2521;Mlahav sklep, ramenski predel
M25.22;M2522;Mlahav sklep, zgornji ud
M25.23;M2523;Mlahav sklep, podlaket
M25.24;M2524;Mlahav sklep, roka
M25.25;M2525;Mlahav sklep, medenični predel in stegno
M25.27;M2527;Mlahav sklep, gleženj in stopalo
M25.28;M2528;Mlahav sklep, drugo
M25.29;M2529;Mlahav sklep, neopredeljeno mesto
M25.3;M253;Druge vrste nestabilnost sklepa
M25.30;M2530;Druge vrste nestabilnost sklepa, več mest
M25.31;M2531;Druge vrste nestabilnost sklepa, ramenski predel
M25.32;M2532;Druge vrste nestabilnost sklepa, zgornji ud
M25.33;M2533;Druge vrste nestabilnost sklepa, podlaket
M25.34;M2534;Druge vrste nestabilnost sklepa, roka
M25.35;M2535;Druge vrste nestabilnost sklepa, medenični predel in stegno
M25.37;M2537;Druge vrste nestabilnost sklepa, gleženj in stopalo
M25.38;M2538;Druge vrste nestabilnost sklepa, drugo
M25.39;M2539;Druge vrste nestabilnost sklepa, neopredeljeno mesto
M25.4;M254;Sklepni izliv
M25.40;M2540;Sklepni izliv, več mest
M25.41;M2541;Sklepni izliv, ramenski predel
M25.42;M2542;Sklepni izliv, zgornji ud
M25.43;M2543;Sklepni izliv, podlaket
M25.44;M2544;Sklepni izliv, roka
M25.45;M2545;Sklepni izliv, medenični predel in stegno
M25.46;M2546;Sklepni izliv, spodnji ud
M25.47;M2547;Sklepni izliv, gleženj in stopalo
M25.48;M2548;Sklepni izliv, drugo
M25.49;M2549;Sklepni izliv, neopredeljeno mesto
M25.5;M255;Sklepna bolečina
M25.50;M2550;Sklepna bolečina, več mest
M25.51;M2551;Sklepna bolečina, ramenski predel
M25.52;M2552;Sklepna bolečina, zgornji ud
M25.53;M2553;Sklepna bolečina, podlaket
M25.54;M2554;Sklepna bolečina, roka
M25.55;M2555;Sklepna bolečina, medenični predel in stegno
M25.56;M2556;Sklepna bolečina, spodnji ud
M25.57;M2557;Sklepna bolečina, gleženj in stopalo
M25.58;M2558;Sklepna bolečina, drugo
M25.59;M2559;Sklepna bolečina, neopredeljeno mesto
M25.6;M256;Okorelost sklepa, ki ni uvrščena drugje
M25.60;M2560;Okorelost sklepa, ki ni uvrščena drugje, več mest
M25.61;M2561;Okorelost sklepa, ki ni uvrščena drugje, ramenski predel
M25.62;M2562;Okorelost sklepa, ki ni uvrščena drugje, zgornji ud
M25.63;M2563;Okorelost sklepa, ki ni uvrščena drugje, podlaket
M25.64;M2564;Okorelost sklepa, ki ni uvrščena drugje, roka
M25.65;M2565;Okorelost sklepa, ki ni uvrščena drugje, medenični predel in stegno
M25.66;M2566;Okorelost sklepa, ki ni uvrščena drugje, spodnji ud
M25.67;M2567;Okorelost sklepa, ki ni uvrščena drugje, gleženj in stopalo
M25.68;M2568;Okorelost sklepa, ki ni uvrščena drugje, drugo
M25.69;M2569;Okorelost sklepa, ki ni uvrščena drugje, neopredeljeno mesto
M25.7;M257;Koščeni izrastek (osteofit)
M25.70;M2570;Koščeni izrastek (osteofit), več mest
M25.71;M2571;Koščeni izrastek (osteofit), ramenski predel
M25.72;M2572;Koščeni izrastek (osteofit), zgornji ud
M25.73;M2573;Koščeni izrastek (osteofit), podlaket
M25.74;M2574;Koščeni izrastek (osteofit), roka
M25.75;M2575;Koščeni izrastek (osteofit), medenični predel in stegno
M25.76;M2576;Koščeni izrastek (osteofit), spodnji ud
M25.77;M2577;Koščeni izrastek (osteofit), gleženj in stopalo
M25.78;M2578;Koščeni izrastek (osteofit), drugo
M25.79;M2579;Koščeni izrastek (osteofit), neopredeljeno mesto
M25.8;M258;Druge opredeljene motnje sklepa
M25.80;M2580;Druge opredeljene motnje sklepa, več mest
M25.81;M2581;Druge opredeljene motnje sklepa, ramenski predel
M25.82;M2582;Druge opredeljene motnje sklepa, zgornji ud
M25.83;M2583;Druge opredeljene motnje sklepa, podlaket
M25.84;M2584;Druge opredeljene motnje sklepa, roka
M25.85;M2585;Druge opredeljene motnje sklepa, medenični predel in stegno
M25.86;M2586;Druge opredeljene motnje sklepa, spodnji ud
M25.87;M2587;Druge opredeljene motnje sklepa, gleženj in stopalo
M25.88;M2588;Druge opredeljene motnje sklepa, drugo
M25.89;M2589;Druge opredeljene motnje sklepa, neopredeljeno mesto
M25.9;M259;Motnja sklepa, neopredeljena
M25.90;M2590;Motnja sklepa, neopredeljena, več mest
M25.91;M2591;Motnja sklepa, neopredeljena, ramenski predel
M25.92;M2592;Motnja sklepa, neopredeljena, zgornji ud
M25.93;M2593;Motnja sklepa, neopredeljena, podlaket
M25.94;M2594;Motnja sklepa, neopredeljena, roka
M25.95;M2595;Motnja sklepa, neopredeljena, medenični predel in stegno
M25.96;M2596;Motnja sklepa, neopredeljena, spodnji ud
M25.97;M2597;Motnja sklepa, neopredeljena, gleženj in stopalo
M25.98;M2598;Motnja sklepa, neopredeljena, drugo
M25.99;M2599;Motnja sklepa, neopredeljena, neopredeljeno mesto
M30;M30;Nodozni poliarteritis (vozličasto vnetje žil) in sorodne motnje
M30.0;M300;Nodozni poliarteritis (vozličasto vnetje žil)
M30.1;M301;Poliarteritis s pljučno prizadetostjo [Churg-Strauss]
M30.2;M302;Juvenilni poliarteritis
M30.3;M303;Sluzničnokožni bezgavčni sindrom [Kawasaki]
M30.8;M308;Druga nodoznemu poliarteritisu sorodna stanja
M31;M31;Druge vrste nekrotizirajoče žilne bolezni (vaskulopatije)
M31.0;M310;Hipersenzitivni angiitis
M31.1;M311;Trombotična mikroangiopatija
M31.2;M312;Letalni granulom midline
M31.3;M313;Wegenerjeva granulomatoza
M31.4;M314;Sindrom aortnega loka [Takayasu]
M31.5;M315;Gigantocelični arteritis z revmatično polimialgijo
M31.6;M316;Druge vrste gigantocelični arteritis
M31.7;M317;Mikroskopski poliangiitis
M31.8;M318;Druge opredeljene nekrotizirajoče vaskulopatije
M31.9;M319;Nekrotizirajoče vaskulopatije, neopredeljene
M32;M32;Sistemski lupus eritematozus
M32.0;M320;Sistemski lupus eritematozus, ki ga sprožijo zdravila
M32.1;M321;Sistemski lupus eritematozus s prizadetostjo enega ali več organov
M32.8;M328;Druge vrste sistemski lupus eritematozus
M32.9;M329;Sistemski lupus eritematozus, neopredeljen
M33;M33;Dermatopolimiozitis
M33.0;M330;Juvenilni dermatomiozitis
M33.1;M331;Druge vrste dermatomiozitis
M33.2;M332;Polimiozitis
M33.9;M339;Dermatopolimiozitis, neopredeljen
M34;M34;Sistemska skleroza
M34.0;M340;Progresivna sistemska skleroza
M34.1;M341;Sindrom CR(E)ST
M34.2;M342;Sistemska skleroza, ki jo povzročajo zdravila in kemikalije
M34.8;M348;Druge oblike sistemske skleroze
M34.9;M349;Sistemska skleroza, neopredeljena
M35;M35;Druge vrste sistemska vezivnotkivna bolezen
M35.0;M350;Sjögrenov sindrom [sicca]
M35.1;M351;Drugi prekrivajoči se sindromi
M35.2;M352;Behçetova bolezen
M35.3;M353;Revmatična polimialgija
M35.4;M354;Difuzni (eozinofilni) fasciitis
M35.5;M355;Mnogožariščna (multifokalna) fibroskleroza
M35.6;M356;Ponavljajoče se (relapsno) vnetje maščevja (panikulitis) [Weber-Christian]
M35.7;M357;Hipermobilnostni sindrom
M35.8;M358;Druge vrste opredeljena sistemska vezivnotkivna bolezen
M35.9;M359;Sistemska vezivnotkivna bolezen, neopredeljena
M36;M36;Sistemske vezivnotkivne bolezni pri boleznih, uvrščenih drugje
M36.0;M360;Dermato(poli)miozitis pri neoplazmah (C00-D48†)
M36.1;M361;Artropatija pri neoplazmah (C00-D48†)
M36.2;M362;Hemofilična artropatija  (D66-D68†)
M36.3;M363;Artropatija pri drugih krvnih motnjah (D50-D76†)
M36.4;M364;Artropatija pri hipersenzitivnih reakcijah, uvrščenih drugje
M36.8;M368;Sistemske vezivnotkivne bolezni pri drugih boleznih, uvrščenih drugje
M40;M40;Kifoza in lordoza
M40.0;M400;Posturalna (zaradi drže) kifoza
M40.00;M4000;Posturalna (zaradi drže) kifoza, več mest na hrbtenici
M40.01;M4001;Posturalna (zaradi drže) kifoza, okcipitalni–atlanto – aksialni predel
M40.02;M4002;Posturalna (zaradi drže) kifoza, cervikalni predel
M40.03;M4003;Posturalna (zaradi drže) kifoza, cervikotorakalni predel
M40.04;M4004;Posturalna (zaradi drže) kifoza, torakalni predel
M40.05;M4005;Posturalna (zaradi drže) kifoza, torakolumbalni predel
M40.06;M4006;Posturalna (zaradi drže) kifoza, lumbalni predel
M40.07;M4007;Posturalna (zaradi drže) kifoza, lumbosakralni predel
M40.08;M4008;Posturalna (zaradi drže) kifoza, sakralni in sakrokokcigealni predel
M40.09;M4009;Posturalna (zaradi drže) kifoza, neopredeljeno mesto
M40.1;M401;Druge vrste sekundarna kifoza
M40.10;M4010;Druge vrste sekundarna kifoza, več mest na hrbtenici
M40.11;M4011;Druge vrste sekundarna kifoza, okcipitalni–atlanto – aksialni predel področje
M40.12;M4012;Druge vrste sekundarna kifoza, cervikalni predel
M40.13;M4013;Druge vrste sekundarna kifoza, cervikotorakalni predel
M40.14;M4014;Druge vrste sekundarna kifoza, torakalni predel
M40.15;M4015;Druge vrste sekundarna kifoza, torakolumbalni predel
M40.16;M4016;Druge vrste sekundarna kifoza, lumbalni predel
M40.17;M4017;Druge vrste sekundarna kifoza, lumbosakralni predel
M40.18;M4018;Druge vrste sekundarna kifoza, sakralni in sakrokokcigealni predel
M40.19;M4019;Druge vrste sekundarna kifoza, neopredeljeno mesto
M40.2;M402;Druge vrste in neopredeljena kifoza
M40.20;M4020;Druge vrste in neopredeljena kifoza, več mest na hrbtenici
M40.21;M4021;Druge vrste in neopredeljena kifoza, okcipitalni–atlanto – aksialni predel področje
M40.22;M4022;Druge vrste in neopredeljena kifoza, cervikalni predel
M40.23;M4023;Druge vrste in neopredeljena kifoza, cervikotorakalni predel
M40.24;M4024;Druge vrste in neopredeljena kifoza, torakalni predel
M40.25;M4025;Druge vrste in neopredeljena kifoza, torakolumbalni predel
M40.26;M4026;Druge vrste in neopredeljena kifoza, lumbalni predel
M40.27;M4027;Druge vrste in neopredeljena kifoza, lumbosakralni predel
M40.28;M4028;Druge vrste in neopredeljena kifoza, sakralni in sakrokokcigealni predel
M40.29;M4029;Druge vrste in neopredeljena kifoza, neopredeljeno mesto
M40.3;M403;Sindrom izravnanega hrbta (flatback sindrom)
M40.30;M4030;Sindrom izravnanega hrbta (flatback sindrom), več mest na hrbtenici
M40.35;M4035;Sindrom izravnanega hrbta (flatback sindrom), torakolumbalni predel
M40.36;M4036;Sindrom izravnanega hrbta (flatback sindrom), lumbalni predel
M40.37;M4037;Sindrom izravnanega hrbta (flatback sindrom), lumbosakralni predel
M40.38;M4038;Sindrom izravnanega hrbta (flatback sindrom), sakralni in sakrokokcigealni predel
M40.39;M4039;Sindrom izravnanega hrbta (flatback sindrom), neopredeljeno mesto
M40.4;M404;Druge vrste lordoza
M40.40;M4040;Druge vrste lordoza, več mest na hrbtenici
M40.41;M4041;Druge vrste lordoza, okcipitalni–atlanto – aksialni predel področje
M40.42;M4042;Druge vrste lordoza, cervikalni predel
M40.43;M4043;Druge vrste lordoza, cervikotorakalni predel
M40.44;M4044;Druge vrste lordoza, torakalni predel
M40.45;M4045;Druge vrste lordoza, torakolumbalni predel
M40.46;M4046;Druge vrste lordoza, lumbalni predel
M40.47;M4047;Druge vrste lordoza, lumbosakralni predel
M40.48;M4048;Druge vrste lordoza, sakralni in sakrokokcigealni predel
M40.49;M4049;Druge vrste lordoza, neopredeljeno mesto
M40.5;M405;Lordoza, neopredeljena
M40.50;M4050;Lordoza, neopredeljena, več mest na hrbtenici
M40.51;M4051;Lordoza, neopredeljena, okcipitalni–atlanto – aksialni predel področje
M40.52;M4052;Lordoza, neopredeljena, cervikalni predel
M40.53;M4053;Lordoza, neopredeljena, cervikotorakalni predel
M40.54;M4054;Lordoza, neopredeljena, torakalni predel
M40.55;M4055;Lordoza, neopredeljena, torakolumbalni predel
M40.56;M4056;Lordoza, neopredeljena, lumbalni predel
M40.57;M4057;Lordoza, neopredeljena, lumbosakralni predel
M40.58;M4058;Lordoza, neopredeljena, sakralni in sakrokokcigealni predel
M40.59;M4059;Lordoza, neopredeljena, neopredeljeno mesto
M41;M41;Skolioza
M41.0;M410;Infantilna idiopatska skolioza
M41.00;M4100;Infantilna idiopatska skolioza, več mest na hrbtenici
M41.01;M4101;Infantilna idiopatska skolioza, okcipitalni–atlanto – aksialni predel področje
M41.02;M4102;Infantilna idiopatska skolioza, cervikalni predel
M41.03;M4103;Infantilna idiopatska skolioza, cervikotorakalni predel
M41.04;M4104;Infantilna idiopatska skolioza, torakalni predel
M41.05;M4105;Infantilna idiopatska skolioza, torakolumbalni predel
M41.06;M4106;Infantilna idiopatska skolioza, lumbalni predel
M41.07;M4107;Infantilna idiopatska skolioza, lumbosakralni predel
M41.08;M4108;Infantilna idiopatska skolioza, sakralni in sakrokokcigealni predel
M41.09;M4109;Infantilna idiopatska skolioza, neopredeljeno mesto
M41.1;M411;Juvenilna idiopatska skolioza
M41.10;M4110;Juvenilna idiopatska skolioza, več mest na hrbtenici
M41.11;M4111;Juvenilna idiopatska skolioza, okcipitalni–atlanto – aksialni predel področje
M41.12;M4112;Juvenilna idiopatska skolioza, cervikalni predel
M41.13;M4113;Juvenilna idiopatska skolioza, cervikotorakalni predel
M41.14;M4114;Juvenilna idiopatska skolioza, torakalni predel
M41.15;M4115;Juvenilna idiopatska skolioza, torakolumbalni predel
M41.16;M4116;Juvenilna idiopatska skolioza, lumbalni predel
M41.17;M4117;Juvenilna idiopatska skolioza, lumbosakralni predel
